
C|C
tum Rebilus, legatus Caesaris, quem Curio secum ex Sicilia duxerat, quod magnum habere usum in re militari sciebat, 'perterritum' inquit 'hostem vides, Curio; quid dubitas uti temporis opportunitate?' ille unum elocutus, ut memoria tenerent milites ea quae pridie sibi confirmassent, sequi se iubet et praecurrit ante omnes|Then Rebilus, Caesar's legate, whom Curius had brought with him from Sicily, because he knew that he would be of great use in military affairs, said in terror, 'You see the enemy, Curius; why do you hesitate to take advantage of the time?' he having said one thing, that the soldiers might remember what they had confirmed to them the day before, ordered them to follow him, and went ahead of them all

adeoque erat impedita vallis, ut in ascensu nisi sublevati a suis primi non facile eniterentur|and it was so obstructed by the valley, that they could not easily proceed in the ascent unless relieved by their first men

sed praeoccupatus animus Attianorum militum timore et fuga et caede suorum nihil de resistendo cogitabat, omnesque iam se ab equitatu circumveniri arbitrabantur|but the mind of the Attian soldiers, preoccupied with fear and flight, and the slaughter of their own men, thought nothing of resisting, and they all now thought that they were surrounded by the cavalry

itaque priusquam telum adigi possit aut nostri propius accederent, omnis Vari acies terga vertit seque in castra recepit|therefore, before the weapon could be driven, or our men could come nearer, the whole line of Varus turned back, and returned to the camp.

Qua in fuga Fabius Paelignus quidam ex infimis ordinibus de exercitu Curionis primum agmen fugientium consecutus magna voce Varum nomine appellans requirebat, uti unus esse ex eius militibus et monere aliquid velle ac dicere videretur|In this flight Fabius Paelignus, one of the lowest ranks of Curio's army, having overtaken the first column of fugitives, calling with a loud voice by the name of Varus, demanded that he should be one of his soldiers, and that he might seem to want to say something and to warn them.

ubi ille saepius appellatus aspexit ac restitit et quis esset aut quid vellet quaesivit, umerum apertum gladio appetit, paulumque afuit quin Varum interficeret; quod ille periculum sublato ad eius conatum scuto vitavit|where he, having been called several times, looked and stopped, and asked who he was or what he wanted, he drew his open shoulder to the sword, and was a little way off from killing Varus; which he avoided by removing the danger from his attempt at the shield

Fabius a proximis militibus circumventus interficitur|Fabius was surrounded by his nearest soldiers and killed

hac fugientium multitudine ac turba portae castrorum occupantur atque iter impeditur, pluresque in eo loco sine vulnere quam in proelio aut fuga intereunt, neque multum afuit quin etiam castris expellerentur, ac nonnulli protinus eodem cursu in oppidum contenderunt|With this multitude of fugitives and multitudes, the gates of the camp were occupied, and the way was obstructed, and many perished in that place without a wound, rather than in battle or in flight;

sed cum loci natura et munitio castrorum aditum prohibebat, tum quod ad proelium egressi Curionis milites iis rebus indigebant quae ad oppugnationem castrorum erant usui|but since the nature of the place and the fortifications prevented access to the camps, and also because the soldiers of Curion, who went out to battle, needed those things which were of use for the assault of the camps

itaque Curio exercitum in castra reducit suis omnibus praeter Fabium incolumibus, ex numero adversariorum circiter dc interfectis ac m vulneratis; qui omnes discessu Curionis multique praeterea per simulationem vulnerum ex castris in oppidum propter timorem sese recipiunt|Curius therefore brought back the army to the camp with all his men unharmed except Fabius, out of the number of his adversaries about 100 slain and 100 wounded. all of whom, on the departure of Curius, and many besides, retreated from the camp into the town, through feigning wounds, through fear

qua re animadversa Varus et terrore exercitus cognito bucinatore in castris et paucis ad speciem tabernaculis relictis de tertia vigilia silentio exercitum in oppidum reducit|Varus having noticed this, and having known the alarm of the army, having left the trumpeter in the camp and a few apparently shelters, on the third watch, silently, brought the army back into the town.

Postero die Curio obsidere Uticam valloque circummunire instituit|On the following day Curio ordered the siege of Utica to be surrounded by a wall

erat in oppido multitudo insolens belli diuturnitate otii, Uticenses pro quibusdam Caesaris in se beneficiis illi amicissimi, conventus is qui ex variis generibus constaret, terror ex superioribus proeliis magnus|there was a multitude in the town, unusual for the length of the war.

itaque de deditione omnes iam palam loquebantur et cum P|therefore all were already openly talking about surrender, and with P

Attio agebant, ne sua pertinacia omnium fortunas perturbari vellet|And so they acted, lest by their obstinacy the fortunes of all should be disturbed

haec cum agerentur, nuntii praemissi ab rege Iuba venerunt, qui illum adesse cum magnis copiis dicerent et de custodia ac defensione urbis hortarentur|While these things were being done, messengers arrived from the king of Juba, who told him that he was present with a large force, and urged him to guard and defend the city.

quae res eorum perterritos animos confirmavit|which fact strengthened their frightened spirits

Nuntiabantur haec eadem Curioni, sed aliquamdiu fides fieri non poterat; tantam habebat sua rum rerum fiduciam|These same things were reported to Curio, but for some time faith could not be made; He had such confidence in his own affairs

iamque Caesaris in Hispania res secundae in Africam nuntiis ac litteris perferebantur|and now Caesar's affairs in Spain were carried to Africa by messengers and letters

quibus omnibus rebus sublatus nihil contra se regem nisurum existimabat|By all these things he thought that the king would make no effort against him

sed ubi certis auctoribus comperit minus v et xx milibus longe ab Utica eius copias abesse, relictis munitionibus sese in Castra Cornelia recepit|but when he learned from certain authorities that his forces were at a distance of less than 50,000 miles from Utica, he left the fortifications and retired to Camp Cornelia

huc frumentum comportare, castra munire, materiam conferre coepit, statimque in Siciliam misit, uti duae legiones reliquusque equitatus ad se mitteretur|he began to bring grain here, to fortify the camp, and to bring material, and immediately sent to Sicily, that two legions and the rest of the cavalry should be sent to him.

castra erant ad bellum ducendum aptissima natura et loci munitione et maris propinquitate et aquae et salis copia, cuius magna vis iam ex proximis erat salinis eo congesta|the camps were very suitable for conducting war, and the fortifications of the place, and the proximity of the sea, and the abundance of water and salt;

non materia multitudine arborum, non frumentum, cuius erant plenissimi agri, deficere poterat|not the material of the multitude of trees, nor the corn, of which the fields were full, could fail

itaque omnium suorum consensu Curio reliquas copias expectare et bellum ducere parabat|therefore, with the consent of all his people, Curius prepared to wait for the rest of the forces and to conduct the war

His constitutis rebus probatisque consiliis ex perfugis quibusdam oppidanis audit Iubam revocatum finitimo bello et controversiis Leptitanorum restitisse in regno et Saburram, eius praefectum, cum mediocribus copiis missum Uticae adpropinquare|After these things had been established and the plans approved, he heard from some fugitives of the townsmen that Juba had been recalled by the neighboring war and disputes of the Leptitans, and had remained in the kingdom, and that Saburra, his governor, had been sent with a moderate force to approach Utica.

his auctoribus temere credens consilium commutat et proelio rem committere constituit|Believing these authorities to be at random, he changes his plan and decides to commit the matter to battle

multum ad hanc rem probandam adiuvat adulescentia, magnitudo animi, superioris temporis proventus, fiducia rei bene gerendae|youth, greatness of mind, previous achievements, and confidence in doing things well help a lot to prove this matter.

his rebus impulsus equitatum omnem prima nocte ad castra hostium mittit ad flumen Bagradam|In consequence of these things he sends the cavalry every first night to the camp of the enemy on the river Bagrada

quibus praeerat Saburra, de quo ante erat auditum, sed rex cum omnibus copiis insequebatur et vi milium passuum intervallo ab Saburra consederat|which was commanded by Saburra, of whom we had heard before;

equites missi nocte iter conficiunt imprudentisque atque inopinantis hostis adgrediuntur|the horsemen being sent make their way by night, and attack the enemy unawares and unexpected

Numidae enim quadam barbara consuetudine nullis ordinibus passim consederant|For the Numidas, by a certain barbarous custom, had settled here and there in no ranks

hos oppressos somno dispersos adorti magnum eorum numerum interficiunt; multi perterriti profugiunt|these oppressed, scattered in their sleep, they slaughtered a great number of them; Many fled in terror

quo facto ad Curionem equites revertuntur captivosque ad eum reducunt|whereupon the horsemen return to Curion, and bring back the prisoners to him

Curio cum omnibus copiis quarta vigilia exierat cohortibus v castris praesidio relictis|Curio, with all his forces, had gone out on the fourth watch, leaving the legions to guard the camp

progressus milia passuum vi equites convenit, rem gestam cognovit; ex captivis quaerit, quis castris ad Bagradam praesit; respondent Saburram|He met with a force of horsemen who had advanced thousands of miles, and knew what had been done; he asks of the prisoners who is in charge of the camp at Bagrada; answered Saburra

reliqua studio itineris conficiendi quaerere praetermittit proximaque respiciens signa, 'videtisne,' inquit 'milites, captivorum orationem cum perfugis convenire? abesse regem, exiguas esse copias missas, quae paucis equitibus pares esse non potuerint? proinde ad praedam, ad gloriam properate, ut iam de praemiis vestris et de referenda gratia cogitare incipiamus|The rest, in the interest of completing the journey, he neglects to seek, and looking at the nearest signs, "do you see," said he, "soldiers, the prayer of the prisoners meeting with the fugitives?" that the king was absent, that the troops sent were small, which could not have been equal to a few horsemen? therefore hasten to the spoil, to the glory, that we may now begin to think of your rewards and of the grace to be reported

' ' erant per se magna quae gesserant equites, praesertim cum eorum exiguus numerus cum tanta multitudine Numidarum conferretur|The things which the horsemen had done were great in themselves, especially when their small number was compared with the great multitude of the Numidians.

haec tamen ab ipsis inflatius commemorabantur, ut de suis homines laudibus libenter praedicant|yet these things were more inflatedly mentioned by them, that their men gladly preached their praises

multa praeterea spolia praeferebantur, capti homines equitesque producebantur, ut quidquid intercederet temporis, hoc omne victoriam morari videretur|besides, many spoils were preferred, men were taken prisoners, and horsemen were produced, so that whatever time intervened, this seemed to delay all victory.

ita spei Curionis militum studia non deerant|thus the hopes of Curio's soldiers were not wanting

equites sequi iubet sese iterque accelerat, ut quam maxime ex fuga perterritos adoriri posset|he orders the horsemen to follow him, and hastens again, that he may be worshiped as much as possible by those who are frightened by flight

at illi itinere totius noctis confecti subsequi non poterant atque alii alio loco resistebant|but they were unable to follow them, having made a whole night's journey, and the others resisted in another place

ne haec quidem res Curionem ad spem morabatur|not even this matter made Curio wait for hope

Iuba certior factus a Saburra de nocturno proelio ii milia Hispanorum et Gallorum equitum, quos suae custodiae causa circum se habere consuerat, et peditum eam partem, cui maxime confidebat, Saburrae summittit; ipse cum reliquis copiis elephantisque lx lentius subsequitur|When Juba was informed by Saburra of the night's battle, he surrendered to Saburra the thousands of Spanish and French cavalry, whom he was accustomed to have around him for the purpose of his guard, and that part of the infantry, in which he trusted the most; He, with the rest of the troops and 60 elephants, followed more slowly

suspicatus praemissis equitibus ipsum adfore Curionem Saburra copias equitum peditumque instruit atque his imperat, ut simulatione timoris paulatim cedant ac pedem referant; sese, cum opus esset, signum proelii daturum et quod rem postulare cognovisset imperaturum|Suspecting that Curion himself would attack the cavalry in advance, Saburra marshaled the troops of horse and foot, and ordered them to give way little by little under the pretense of fear, and return to their feet; when it was necessary, he would give the signal for battle, and would give orders as he knew the matter required

Curio ad superiorem spem addita praesentis temporis opinione hostes fugere arbitratus copias ex locis superioribus in campum deducit|Curius, adding to his higher hopes, and thinking that the enemy were fleeing at the present time, brought his troops from the higher places into the field.

Quibus ex locis cum longius esset progressus, confecto iam labore exercitu xvi milium spatio constitit|From these places, when he had advanced further, the army having finished its work, halted at a distance of sixteen miles

dat suis signum Saburra, aciem constituit et circumire ordines atque hortari incipit|Saburra gives the signal to his men, forms a line, and begins to go round the ranks and to exhort him

sed peditatu dumtaxat procul ad speciem utitur, equites in aciem inmittit|but while he uses the infantry at a distance for appearance, he sends the cavalry into battle

non deest negotio Curio suosque hortatur, ut spem omnem in virtute reponant|There is no lack of business for the Curia, and he exhorts his subjects to place all their hope in virtue

ne militibus quidem, ut defessis, neque equitibus, ut paucis et labore confectis, studium ad pugnandum virtusque deerat; sed hi erant numero cc, reliqui in itinere substiterant|neither the soldiers, as they were tired, nor the horsemen, as they were few and worn out, lacked enthusiasm for fighting and courage; but these were 200 in number, the rest had stopped on the way

hi quamcumque in partem impetum fecerant, hostes loco cedere cogebant, sed neque longius fugientes prosequi, nec vehementius equos incitare poterant|in whatever direction they made an attack, they compelled the enemy to give way, but they could neither pursue them, fleeing farther, nor encourage their horses more violently.

at equitatus hostium ab utroque cornu circumire aciem nostram et aversos proterere incipit|but the enemy's cavalry began to surround our line from both wings, and to drive out the enemy

cum cohortes ex acie procucurrissent, Numidae integri celeritate impetum nostrorum effugiebant, rursusque ad ordines suos se recipientes circumibant et ab acie excludebant|when the cohorts had run out of the line, the Numidians fled with all speed from our attack, and, taking themselves back to their ranks, surrounded them and cut them off from the line.

sic neque in loco manere ordinesque servare, neque procurrere et casum subire tutum videbatur|so that it seemed safe neither to remain in place and to keep the ranks, nor to rush forward and suffer an accident

hostium copiae submissis ab rege auxiliis crebro augebantur; nostros vires lassitudine deficiebant, simul ii qui vulnera acceperant, neque acie excedere, neque in locum tutum referri poterant, quod tota acies equitatu hostium circumdata tenebatur|The forces of the enemy, subdued by the help of the king, were frequently increased; our strength failed with fatigue, and at the same time those who had received wounds could neither leave the line nor be brought back to a place of safety, for the whole line was surrounded by the enemy's cavalry

hi de sua salute desperantes, ut extremo vitae tempore homines facere consuerunt, aut suam mortem miserabantur aut parentes suos commendabant, siquos ex eo periculo fortuna servare potuisset|these, despairing of their safety, as men are wont to do at the end of their lives, either pitied their own death, or commended their parents;

plena erant omnia timoris et luctus|all were full of fear and sorrow

Curio ubi perterritis omnibus neque cohortationes suas neque preces audiri intellegit, unam ut in miseris rebus spem reliquam salutis esse arbitratus proximos colles capere universos atque eo signa inferri iubet|Curius, when all were terrified, and perceiving that neither his encouragement nor his prayers were heard, thought that there was still some hope of salvation in such wretched things, he ordered the whole of the neighboring hills to be taken, and that signs should be brought to him.

hos quoque praeoccupat missus a Saburra equitatus|the cavalry sent by Saburra overtook these also

tum vero ad summam desperationem nostri perveniunt et partim fugientes ab equitatu interficiuntur, partim integri procumbunt|but then they reached the utmost despair of ours, and partly fleeing were killed by the cavalry, partly prostrated unharmed

hortatur Curionem Cn|Cn. urges Curio

Domitius praefectus equitum, cum paucis equitibus circumsistens, ut fuga salutem petat atque in castra contendat, et se ab eo non discessurum pollicetur|Domitius, the commander of the cavalry, standing around with a few horsemen, asked for safety in flight and marched into the camp, and promised not to depart from him.

at Curio numquam se amisso exercitu, quem a Caesare fidei commissum acceperit, in eius conspectum reversurum confirmat atque ita proelians interficitur|but Curius, having never lost himself in the army, which he had received as a pledge of faith from Caesar, affirmed that he would return to his sight, and thus fighting was slain

equites ex proelio perpauci se recipiunt; sed ii quos ad novissimum agmen equorum reficiendorum causa substitisse demonstratum est, fuga totius exercitus procul animadversa sese incolumes in castra conferunt|very few horsemen recover from the battle; but those who were shown to have halted for the purpose of repairing the horses to the last train, having observed the flight of the whole army at a distance, brought themselves unharmed into the camp

milites ad unum omnes interficiuntur|the soldiers are all killed one by one

His rebus cognitis Marcius Rufus quaestor in castris relictus a Curione cohortatur suos, ne animo deficiant|Having learned these things, the procurator Marcus Rufus, left by Curio in the camp, encourages his men not to lose heart

illi orant atque obsecrant, ut in Siciliam navibus reportentur|they pray and entreat that they may be taken by ship to Sicily

pollicetur magistrisque imperat navium, ut primo vespere omnes scaphas ad litus adpulsas habeant|he promises and orders the masters of the ships, that by the first evening all the boats should be driven ashore

sed tantus fuit omnium terror, ut alii adesse copias Iubae dicerent, alii cum legionibus instare Varum iamque se pulverem venientium cernere, quarum rerum nihil omnino acciderat, alii classem hostium celeriter advolaturam suspicarentur|but so great was the terror of all, that some said that the forces of Juba were at hand, others that Varus with his legions was pressing on, and that they already saw the dust of those who were coming, of which things nothing at all had happened;

itaque perterritis omnibus sibi quisque consulebat|therefore, being terrified, each one took counsel with himself

qui in classe erant, proficisci properabant|those who were in the fleet were hastening to set out

horum fuga navium onerariarum magistros incitabat; pauci lenunculi ad officium imperiumque conveniebant|the flight of these freighters incited the masters; A few little ones gathered for office and command

sed tanta erat completis litoribus contentio, qui potissimum ex magno numero conscenderent, ut multitudine atque onere nonnulli deprimerentur, reliqui hoc timore propius adire tardarentur|but so great was the contention of the shores, that the great number of them embarked, that some were overwhelmed by the multitude and the burden, and the rest were slow to come nearer by this fear.

Quibus rebus accidit, ut pauci milites patresque familiae, qui aut gratia aut misericordia valerent aut naves adnare possent, recepti in Siciliam incolumes pervenirent|In these circumstances it happened that a few soldiers and fathers of families, who were able either by grace or mercy, or were able to anchor the ships, were received and arrived safely in Sicily.

reliquae copiae missis ad Varum noctu legatorum numero centurionibus sese ei dediderunt|the rest of the forces being sent to Varus, by night the ambassadors numbered in the number of centurions, surrendered to him

quorum cohortes militum postero die ante oppidum Iuba conspicatus, suam esse praedicans praedam, magnam partem eorum interfici iussit, paucos electos in regnum remisit, cum Varus suam fidem ab eo laedi quereretur neque resistere auderet|the next day seeing their troops before the town of Juba, proclaiming that they were their prey, he ordered a large part of them to be killed, and sent back a few chosen ones to the kingdom, when Varus complained that his faith had been injured by him, and did not dare to resist

ipse equo in oppidum vectus prosequentibus compluribus senatoribus, quo in numero erat Ser|He himself was driven into town on horseback, accompanied by a number of senators, among whom was Ser

Sulpicius et Licinius Damasippus, paucis diebus quae fieri vellet, Uticae constituit atque imperavit, diebus aeque post paucis se in regnum cum omnibus copiis recepit|Sulpicius and Licinius Damasippus, in a few days what he wished to be done, established and commanded Utica;
